2026-02-16 23:10:26.025261	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&assay_term_name=RNA+Bind-n-Seq&status=released&files.file_type=tsv&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR443NPK/	ENCSR443NPK	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/CSDE1-human/	CSDE1	CSDE1		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against CSDE1	Chris Burge, MIT	ENCODE	released	/files/ENCFF094VAN/,/files/ENCFF645OQW/,/files/ENCFF485AIN/,/files/ENCFF512FTV/,/files/ENCFF784PCB/,/files/ENCFF605BSF/,/files/ENCFF978GME/,/files/ENCFF297CFL/			1	3,1,2																/replicates/ceb91021-9595-4560-b141-bf887031d911/,/replicates/e8ff7fdd-3881-4d63-ab62-5c6615f2b39a/,/replicates/4352d47c-3351-408a-86b1-118a7de2aec4/				
/experiments/ENCSR642PJQ/	ENCSR642PJQ	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/SYNCRIP-human/	SYNCRIP	SYNCRIP		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against SYNCRIP	Chris Burge, MIT	ENCODE	released	/files/ENCFF031ZQZ/,/files/ENCFF311VEA/,/files/ENCFF987JUM/,/files/ENCFF179RZN/,/files/ENCFF891OQH/,/files/ENCFF528AXU/,/files/ENCFF641OAC/,/files/ENCFF421YBM/,/files/ENCFF915QBG/,/files/ENCFF938NUW/			1	3,1,2																/replicates/ae6fecf0-a867-400d-873e-d8d407440039/,/replicates/6a9090d1-1963-4032-a5b6-9bf1f3942709/,/replicates/730e5434-0e12-461f-9e3c-75a202e6ce60/				
/experiments/ENCSR021IWR/	ENCSR021IWR	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/THUMPD1-human/	THUMPD1	THUMPD1		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against THUMPD1	Chris Burge, MIT	ENCODE	released	/files/ENCFF102LTO/,/files/ENCFF223DCK/,/files/ENCFF229VDA/,/files/ENCFF306XAM/,/files/ENCFF961NLG/,/files/ENCFF223BBB/,/files/ENCFF861RBP/,/files/ENCFF505XEX/,/files/ENCFF407EVV/,/files/ENCFF618VDG/,/files/ENCFF899TEE/			1	3,1,2																/replicates/5ef6af77-d90e-48bf-8768-9f3592e32b42/,/replicates/39b30ab5-5ca3-4ac8-81ad-dfa300d8202b/,/replicates/481a1fcc-f9b7-4a47-95db-cb12fc58fa35/				
/experiments/ENCSR456IMV/	ENCSR456IMV	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/TDRD10-human/	TDRD10	TDRD10		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against TDRD10	Chris Burge, MIT	ENCODE	released	/files/ENCFF311QTO/,/files/ENCFF117GBU/,/files/ENCFF637GMS/,/files/ENCFF555DJM/,/files/ENCFF882TPE/,/files/ENCFF866WKT/,/files/ENCFF525JTH/,/files/ENCFF599TLF/,/files/ENCFF628ECY/,/files/ENCFF437SJZ/			1	3,1,2																/replicates/922d93ff-32cf-4316-8b0d-337007f991df/,/replicates/d99fca3a-4d67-4f81-978b-07908ab8e92f/,/replicates/6fd48f95-17a6-43bb-820f-5de677f3f65c/				
/experiments/ENCSR614KXG/	ENCSR614KXG	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/ZC3H18-human/	ZC3H18	ZC3H18		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against ZC3H18	Chris Burge, MIT	ENCODE	released	/files/ENCFF948RDB/,/files/ENCFF304PSD/,/files/ENCFF905HAO/,/files/ENCFF608YRR/,/files/ENCFF275KID/,/files/ENCFF284WWS/,/files/ENCFF643LAA/,/files/ENCFF223GDG/,/files/ENCFF948LZZ/			1	3,1,2																/replicates/bc0e47db-396c-4098-b853-d3cfeddca2aa/,/replicates/db1be53c-c71a-42d0-bc02-903db303cf74/,/replicates/3291cbd5-dcd8-4c4d-a7cf-0abd7d6b4208/				
/experiments/ENCSR345PWR/	ENCSR345PWR	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/RBM5-human/	RBM5	RBM5		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against RBM5	Chris Burge, MIT	ENCODE	released	/files/ENCFF444DXH/,/files/ENCFF361NTW/,/files/ENCFF150UEU/,/files/ENCFF989HJA/,/files/ENCFF961RUA/,/files/ENCFF341CEM/,/files/ENCFF797YXW/,/files/ENCFF675WZL/,/files/ENCFF357IXX/			1	3,1,2																/replicates/9177e24d-468b-419d-a106-b3f7b51e85ed/,/replicates/36ce9843-61cc-41da-b4df-8aead8faae0c/,/replicates/845f63e3-cd00-4431-ae0c-77f9d4118194/				
/experiments/ENCSR605EEO/	ENCSR605EEO	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/ZC3H10-human/	ZC3H10	ZC3H10		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against ZC3H10	Chris Burge, MIT	ENCODE	released	/files/ENCFF244KWF/,/files/ENCFF320AIR/,/files/ENCFF951DBV/,/files/ENCFF311CFI/,/files/ENCFF807IMZ/,/files/ENCFF289GIJ/,/files/ENCFF248IRI/,/files/ENCFF438VWX/			1	3,2,1																/replicates/a9468905-a89d-424f-b10e-2d142d44b6bf/,/replicates/6670396a-46e7-46b6-afe7-5d409ff8a6f3/,/replicates/0e7cd1db-eb2e-4037-a5ef-5939378d94b6/				
/experiments/ENCSR446UHZ/	ENCSR446UHZ	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/RBM20-human/	RBM20	RBM20		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against RBM20	Chris Burge, MIT	ENCODE	released	/files/ENCFF520OQE/,/files/ENCFF781JHV/,/files/ENCFF653WQY/,/files/ENCFF717EVB/,/files/ENCFF427CHX/,/files/ENCFF026ELB/,/files/ENCFF817DQA/,/files/ENCFF470QTH/			1	3,1,2																/replicates/4c20bd72-a252-4c8e-8b19-2bbf311da30a/,/replicates/353c4a4b-c447-4910-b548-89a551a1ff6f/,/replicates/b6df6f4d-7398-4d85-b653-a0ff9daa1129/				
/experiments/ENCSR079FDB/	ENCSR079FDB	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/SF3B6-human/	SF3B6	SF3B6		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against SF3B14	Chris Burge, MIT	ENCODE	released	/files/ENCFF578APX/,/files/ENCFF228BDE/,/files/ENCFF448IKY/,/files/ENCFF780DNA/,/files/ENCFF253ZGO/,/files/ENCFF242MYG/,/files/ENCFF526HYL/,/files/ENCFF611UYV/,/files/ENCFF886ERU/			1	1,3,2																/replicates/0f935595-43db-47c6-a3d1-4e284bcdc70d/,/replicates/458f2b1e-e259-4165-9b08-a7f54a3b901c/,/replicates/4bb43114-01b1-4cbb-98f9-66abd60071be/				
/experiments/ENCSR387CDD/	ENCSR387CDD	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/NSUN2-human/	NSUN2	NSUN2		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against NSUN2	Chris Burge, MIT	ENCODE	released	/files/ENCFF399SZJ/,/files/ENCFF106PAT/,/files/ENCFF436MVF/,/files/ENCFF214AFK/,/files/ENCFF841VGA/,/files/ENCFF716XQB/,/files/ENCFF345UKY/,/files/ENCFF498WEB/,/files/ENCFF991XEB/,/files/ENCFF738XZS/			1	3,1,2																/replicates/47d8c888-6f69-4462-9325-0de2379085ac/,/replicates/a2773713-4315-4c8d-80f6-56eb631ae636/,/replicates/fcc3c6bd-674f-4998-b394-d8f661c7ccb4/				
