2026-02-16 04:30:59.566703	https://www.encodeproject.org/report/?type=File&file_format=bed&assay_title=eCLIP&biosample_ontology.term_name=K562&biosample_ontology.term_name=HepG2&target.label=HNRNPC&target.label=IGF2BP1&target.label=IGF2BP2&target.label=TIA1&target.label=HNRNPK&target.label=PCBP2&target.label=RBFOX2&target.label=TARDBP&target.label=QKI&target.label=SRSF1&target.label=SRSF9&target.label=RBM22&target.label=TRA2A&target.label=HNRNPL&target.label=LIN28B&target.label=FUS&target.label=MATR3&target.label=HNRNPA1&target.label=HNRNPM&target.label=NONO&target.label=U2AF2&target.label=EWSR1&target.label=PTBP1&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF011XTO/	ENCFF011XTO	ENCFF011XTO	/experiments/ENCSR585SMS/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	93066	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS768GCL/,/biosamples/ENCBS133LVQ/	NONO	/files/ENCFF011XTO/@@download/ENCFF011XTO.bed.gz	/files/ENCFF381HOL/,/files/ENCFF797FLR/,/files/ENCFF033EEP/,/files/ENCFF345GRN/,/files/ENCFF311KOX/,/files/ENCFF133VWV/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/28591590-413f-4dc3-ba4a-176533a43b78/	2022-01-12T21:45:52.712914+00:00	/analysis-step-versions/encode4-eclip-merge-peaks-step-v-1-0/			archived				
/files/ENCFF781BNS/	ENCFF781BNS	ENCFF781BNS	/experiments/ENCSR381VNR/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	6758	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS505ILK/,/biosamples/ENCBS592SHU/	SRSF9	/files/ENCFF781BNS/@@download/ENCFF781BNS.bed.gz	/files/ENCFF870JPN/,/files/ENCFF937IDV/,/files/ENCFF064HSV/,/files/ENCFF619YYW/,/files/ENCFF860QZG/,/files/ENCFF613UUR/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/28591590-413f-4dc3-ba4a-176533a43b78/	2022-01-12T21:45:25.163354+00:00	/analysis-step-versions/encode4-eclip-merge-peaks-step-v-1-0/			released				
/files/ENCFF487OCT/	ENCFF487OCT	ENCFF487OCT	/experiments/ENCSR321PWZ/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	2584136	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	SRSF1	/files/ENCFF487OCT/@@download/ENCFF487OCT.bed.gz	/files/ENCFF810FCS/,/files/ENCFF241WHP/	V29	ENCLB509JKW											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/437221ed-30da-4149-95e9-e95fd5eb37d3/	2022-01-12T21:41:46.528921+00:00	/analysis-step-versions/encode4-eclip-normalization-step-v-1-0/			released				
/files/ENCFF311KOX/	ENCFF311KOX	ENCFF311KOX	/experiments/ENCSR585SMS/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	4725982	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS133LVQ/	NONO	/files/ENCFF311KOX/@@download/ENCFF311KOX.bed.gz	/files/ENCFF381HOL/,/files/ENCFF033EEP/	V29	ENCLB545VDF											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/437221ed-30da-4149-95e9-e95fd5eb37d3/	2022-01-12T21:39:05.654433+00:00	/analysis-step-versions/encode4-eclip-normalization-step-v-1-0/			archived				
/files/ENCFF381ZLO/	ENCFF381ZLO	ENCFF381ZLO	/experiments/ENCSR285QHT/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1148255	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/	NONO	/files/ENCFF381ZLO/@@download/ENCFF381ZLO.bed.gz	/files/ENCFF598UHA/,/files/ENCFF605HBU/	V29	ENCLB598SXW											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/437221ed-30da-4149-95e9-e95fd5eb37d3/	2022-01-12T21:39:00.590984+00:00	/analysis-step-versions/encode4-eclip-normalization-step-v-1-0/			archived				
/files/ENCFF673QBV/	ENCFF673QBV	ENCFF673QBV	/experiments/ENCSR187VEQ/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	443962	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS768GCL/,/biosamples/ENCBS133LVQ/	TARDBP	/files/ENCFF673QBV/@@download/ENCFF673QBV.bed.gz	/files/ENCFF918MZV/,/files/ENCFF792QOH/,/files/ENCFF079ZVC/,/files/ENCFF334XQN/,/files/ENCFF421FJD/,/files/ENCFF626XAA/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/28591590-413f-4dc3-ba4a-176533a43b78/	2022-01-12T21:46:52.326512+00:00	/analysis-step-versions/encode4-eclip-merge-peaks-step-v-1-0/			released				
/files/ENCFF089QYN/	ENCFF089QYN	ENCFF089QYN	/experiments/ENCSR285QHT/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	68412	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/,/biosamples/ENCBS039CVO/	NONO	/files/ENCFF089QYN/@@download/ENCFF089QYN.bed.gz	/files/ENCFF492OOJ/,/files/ENCFF598UHA/,/files/ENCFF949LWL/,/files/ENCFF605HBU/,/files/ENCFF692DTT/,/files/ENCFF381ZLO/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/28591590-413f-4dc3-ba4a-176533a43b78/	2022-01-12T21:45:48.053393+00:00	/analysis-step-versions/encode4-eclip-merge-peaks-step-v-1-0/			archived				
/files/ENCFF246BGL/	ENCFF246BGL	ENCFF246BGL	/experiments/ENCSR861GYE/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	719710	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS308ZPA/	LIN28B	/files/ENCFF246BGL/@@download/ENCFF246BGL.bed.gz	/files/ENCFF284RSI/,/files/ENCFF244QMW/		ENCLB200JXS											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:23:51.474269+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF005PKK/	ENCFF005PKK	ENCFF005PKK	/experiments/ENCSR412NOW/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1608245	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS270GGH/	HNRNPM	/files/ENCFF005PKK/@@download/ENCFF005PKK.bed.gz	/files/ENCFF379LZD/,/files/ENCFF532ADX/		ENCLB287JOM											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:17:12.640714+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF674TKN/	ENCFF674TKN	ENCFF674TKN	/experiments/ENCSR057DWB/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	3377447	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS126AJR/	TIA1	/files/ENCFF674TKN/@@download/ENCFF674TKN.bed.gz	/files/ENCFF080VML/,/files/ENCFF910OEJ/		ENCLB274AUW			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:20:11.487297+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
